timestamp,text,video
"[0.0, 2.0]", I simply must get through!,video_3
"[2.0, 4.0]"," Sorry, you're much too big!",video_3
"[4.0, 5.0]", Yeah man!,video_3
"[5.0, 7.0]", Bobby two pistols in his bitch!,video_3
"[7.0, 8.0]", Yeah man!,video_3
"[8.0, 10.0]", Fuck all those niggers man!,video_3
"[10.0, 12.0]", Martin Luther King deserved to be killed!,video_3
"[12.0, 14.0]", And fuck your nigger!,video_3
"[14.0, 16.0]", Just grab and steal your shit man!,video_3
"[16.0, 18.0]", Fuck those niggers man!,video_3
"[18.0, 20.0]", Fuck all niggers!,video_3
"[20.0, 22.0]", Fuck all niggers!,video_3
"[22.0, 24.0]", Fuck all niggers!,video_3
"[24.0, 25.06]", Fuck all niggers! Fuck all those niggers Fuck all niggers Fuck all niggers,video_3
"[25.06, 26.8]", Fuck all those niggers,video_3
"[26.8, 28.48]", Fuck all those niggers,video_3
"[28.48, 30.2]", Fuck all those niggers,video_3
"[30.2, 31.9]", Fuck all those niggers,video_3
"[31.9, 33.6]", Rapping still my shit,video_3
"[33.6, 35.18]", Rapping still my shit,video_3
"[35.18, 36.92]", They wanna rap and steal my shit,video_3
"[36.92, 38.68]", Because they can't get shit,video_3
"[38.68, 40.5]", Go and get a job,video_3
"[40.5, 42.2]", Stop trying to rob,video_3
"[42.2, 43.88]", Stop trying to fuck my mom,video_3
"[43.88, 45.7]", My dick is bigger than yards,video_3
"[45.7, 49.0]"," Fuck all niggers, they can burn in hell",video_3
"[49.0, 52.5]"," Fuck Rosa Parks, I'll slap that bitch as well",video_3
"[52.5, 55.9]"," Niggers need to burn, niggers need to learn",video_3
"[55.9, 59.28]"," Niggers can't pass class, niggers can't learn",video_3
"[59.28, 62.9]"," Stupid ass bitch, stupid ass black fucks",video_3
"[62.9, 86.2]"," Try to fucking take my shit, get a fucking job, yeah, fuck all those niggers, fuck all those niggers, fuck all those niggers, yeah, bitch my name is Bobby Two Pistols, you try to rob me I got a pistol, I'm shooting a black nigger in his head again. And bitch, I am not George Zimmerman.",video_3
"[86.66, 88.44]", I'm gonna kill that nigger dead.,video_3
"[88.94, 90.2]", Kill that nigger dead.,video_3
"[90.62, 93.58]", Record that shit and put it on Worldstar as well.,video_3
"[94.02, 95.36]", Fuck all those niggers.,video_3
"[95.84, 97.02]", They can burn in hell.,video_3
"[97.52, 98.72]", Fuck Eric Gartner.,video_3
"[99.02, 100.42]", He fat as fucking hell.,video_3
"[100.94, 102.14]", Fuck all those niggers.,video_3
"[102.28, 103.28]", I'll choke him out.,video_3
"[104.08, 106.8]", Fuck all those niggers. i'll choke em out fuck all those niggas i'll shoot it out,video_3
"[106.8, 113.58]", if a niggas gets mad then we can shoot it out bitch i don't fight with niggas they'll be down,video_3
"[113.58, 120.26]", they like to jump they like to rob they like to take a nigga car and rap at the same time,video_3
"[120.26, 127.0]", stupid ass niggas all they can do is rhyme They can never get a motherfucking 9 to 5,video_3
"[127.0, 130.0]", Stupid ass niggers don't know 5 plus 5,video_3
"[130.0, 134.0]", They just know that if I can do a rhyme I can get time,video_3
"[134.0, 136.0]"," Yeah, fuck all those niggers",video_3
"[136.0, 138.0]", Fuck all those niggers,video_3
"[138.0, 140.0]", Fuck all those niggers,video_3
"[140.0, 141.0]", Fuck all those niggers,video_3
"[141.0, 143.0]"," Yeah, fuck all those niggers",video_3
"[143.0, 145.06]"," Fuck all those niggers Fuck all those niggers Yeah, fuck all those niggers, yeah Fuck all those niggers Fuck all those niggers",video_3
"[145.06, 147.06]"," Fuck all those niggers, yeah",video_3
"[147.06, 148.5]", Fuck all those niggers,video_3
"[148.5, 150.18]", Niggers can burn in hell,video_3
"[150.18, 151.9]", Trayvon as well,video_3
"[151.9, 153.7]", Niggers can burn in hell,video_3
"[153.7, 155.4]", Niggers can burn in hell,video_3
"[155.4, 162.56]"," Nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger",video_3
"[162.56, 166.04]", Bobby Two Pistols in this bitch.,video_3
"[167.06, 169.42]", I saw the niggers in this bitch.,video_3
"[169.92, 172.6]", You motherfuckers used to be slaves.,video_3
"[173.02, 175.92]", Now you think you can ride in my Escalade.,video_3
"[176.32, 179.22]"," Stupid ass nigger, better clean my car good.",video_3
"[179.5, 182.76]", Before I get this whip out and then shoot you in your hood.,video_3
"[183.32, 184.26]", Dumb ass nigger.,video_3
"[184.9, 186.52]"," Stupid ass nigger. You calling me a cracker? Dumbass nigger, stupid ass nigger.",video_3
"[186.52, 187.92]", You calling me a cracker?,video_3
"[187.92, 190.1]", Well it's better to be a nigger.,video_3
"[190.1, 193.56]", Better than being a nigger.,video_3
"[193.56, 198.68]", Bitch you're so black you look like a damn shade.,video_3
"[198.68, 202.76]"," Bitch, clean my car while I drink lemonade.",video_3
"[202.76, 203.96]", Ya fuckin' slave.,video_3
"[203.96, 205.12]", Melvin on the beat,video_3
"[205.12, 208.56]"," Buy me two pistols man, fuck all those niggers man",video_3
"[208.56, 231.12]", Real nigger anthem Продолжение следует...,video_3
"[0.0, 1.0]", Hey Will!,video_4
"[1.0, 2.0]"," Yes, yeah.",video_4
"[2.0, 4.0]"," I don't mean to disrupt your contemplation, but...",video_4
"[4.0, 5.0]"," No, please.",video_4
"[5.0, 7.0]", What is hate speech?,video_4
"[7.0, 9.0]"," Man, does anybody really know what hate speech is?",video_4
"[9.0, 11.0]", Hate speech is different from me to you.,video_4
"[11.0, 15.0]", Something I might find hateful you might find to be your freedom manifesto.,video_4
"[15.0, 18.0]", That's the problem with it. Hate speech is pretty subjective.,video_4
"[18.0, 20.0]", It all is in the eye of the beholder.,video_4
"[20.0, 24.0]"," So, pretty much protected, because none of us can make that choice for everybody.",video_4
"[24.0, 25.32]", Hate speech.,video_4
"[25.96, 27.26]"," Well, I love this.",video_4
"[28.78, 29.52]", Thank you.,video_4
"[29.66, 30.24]", Thank you.,video_4
