text,video,start,end,Chunk_hate,Hate_Label
 Niggers can burn in hell,hate_video_3,148.5,150.2,1,1
 Trayvon as well,hate_video_3,150.2,151.9,1,1
 Niggers can burn in hell,hate_video_3,151.9,153.7,1,1
 Niggers can burn in hell,hate_video_3,153.7,155.4,1,1
" Nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger",hate_video_3,155.4,162.56,1,1
 Bobby Two Pistols in this bitch.,hate_video_3,162.56,166.04,1,1
 I saw the niggers in this bitch.,hate_video_3,166.98,169.42,1,1
 You motherfuckers used to be slaves.,hate_video_3,169.66,172.6,1,1
 Now you think you can ride in my Escalade.,hate_video_3,173.02,175.92,1,1
" Stupid ass nigger, better clean my car good.",hate_video_3,176.3,179.22,1,1
 Before I get this whip out and then shoot you in your hood.,hate_video_3,179.5,182.76,1,1
 Dumb ass nigger.,hate_video_3,183.32,184.26,1,1
" Stupid ass nigger. You calling me a cracker? Dumbass nigger, stupid ass nigger.",hate_video_3,184.9,186.56,1,1
 You calling me a cracker?,hate_video_3,186.56,187.96,1,1
" Well, it's better to be a nigger.",hate_video_3,187.96,190.12,1,1
 Better than being a nigger.,hate_video_3,190.12,193.6,1,1
" Bitch, you're so black you look like a damn shade.",hate_video_3,193.6,198.68,1,1
" Bitch, clean my car while I drink lemonade.",hate_video_3,198.68,202.8,1,1
 Ya fuckin' slave.,hate_video_3,202.8,203.96,1,1
 Melvin on the beat,hate_video_3,203.96,205.12,1,1
" Buy me two pistols man, fuck all those niggers man",hate_video_3,205.12,208.56,1,1
 Real nigger anthem Продолжение следует...,hate_video_3,208.56,231.12,0,1
 Fuck Jews. We woos kings. We woos the real Jews and the real Egyptians man. Bang bang.,hate_video_4,1.68,8.62,1,1
 Hello nigger my old friend,hate_video_5,1.78,5.0,1,1
 You've come to rob my house again,hate_video_5,5.0,10.0,1,1
 Cause you nigger softly creeping,hate_video_5,10.0,15.0,1,1
 You rob my house while I'm sleeping,hate_video_5,15.0,20.0,1,1
 And your stinky nigger smell in my brain still remains,hate_video_5,20.0,29.44,1,1
 I is a trans nigger,hate_video_5,29.44,33.44,1,1
" No, I haven't.",hate_video_6,0.0,2.76,1,1
 No.,hate_video_6,5.76,6.06,1,1
 No.,hate_video_6,8.46,8.78,1,1
" No, I haven't, bro.",hate_video_6,13.28,14.64,1,1
" Nah, bro.",hate_video_6,17.52,18.44,1,1
" I'm good, dog.",hate_video_6,23.04,24.04,1,1
" Yeah, I'm good, dog. You sure? Yeah.",hate_video_6,25.58,25.94,1,1
 How about a monkey dance? I thought you guys,hate_video_6,26.16,28.18,1,1
 danced for,hate_video_6,28.18,29.06,1,1
 bananas.,hate_video_6,29.06,30.74,1,1
 I do the smack that ass and beat your ass.,hate_video_6,31.84,34.06,1,1
" Oh, yeah? What are you gonna do,",hate_video_6,34.18,36.14,1,1
 nigger?,hate_video_6,36.22,36.4,1,1
 I don't know. I'm about you covering it and see.,hate_video_6,37.6,39.92,1,1
" Oh, yeah? What are you gonna do? Are you gonna",hate_video_6,40.22,41.8,1,1
 become an inherently violent,hate_video_6,41.8,44.06,1,1
" savage that I know you are? What you gonna do? Hang me, motherfucker? Oh, I? What are you going to do? Are you going to become an inherently violent savage that I know you are?",hate_video_6,44.06,45.22,1,1
" What are you going to do? Hang me, motherfucker?",hate_video_6,46.08,47.68,1,1
" Oh, I can't wait.",hate_video_6,47.96,49.0,1,1
 For sure?,hate_video_6,50.26,50.86,1,1
" Yeah, it's going to be exciting. I can't, you know, when there's a nigger hanging on every street pole in America,",hate_video_6,51.26,58.68,1,1
" and I can walk down the street and just see your dangling corpses all over, I just can't wait.",hate_video_6,59.02,67.0,1,1
" I mean, either.",hate_video_6,67.0,69.0,1,1
 Yeah.,hate_video_6,69.0,70.0,1,1
 Okay.,hate_video_6,70.0,71.0,1,1
 One less nigger around.,hate_video_6,71.0,73.0,1,1
 Niggas envy!,hate_video_7,22.22,1.38,1,1
 Blackie got stiffy!,hate_video_7,1.38,2.88,1,1
 Got blackie!,hate_video_7,2.88,4.38,1,1
" Drop me fucking, blackie!",hate_video_7,4.38,5.88,1,1
 Oh!,hate_video_7,5.88,6.88,1,1
" Oh, God!",hate_video_7,8.34,10.38,1,1
 I'm not racist. These people really do all look alike.,hate_video_7,10.38,25.26,1,1
" Woah, that's one bad nigga, a damn chair",hate_video_8,0.42,4.0,1,1
" Dobboomegger, oh my god, Dobboomegger",hate_video_8,4.0,7.0,1,1
" He's a Dobboomegger, a lot damn chair",hate_video_8,7.0,10.0,1,1
" Yo, he's a Dobboomegger, a lot damn chair",hate_video_8,10.0,14.0,1,1
" Yo, holy fuck, he looks so mean",hate_video_8,14.0,17.0,1,1
" He's so black, so scary",hate_video_8,17.0,20.0,1,1
" Dobboomegger, Dobboomegger, so dead and black",hate_video_8,20.0,24.0,1,1
" He's got killed later, he's talking to a fight at red",hate_video_8,24.0,27.34,1,1
" Blue Negger, that's one bad nigga bro",hate_video_8,27.34,31.0,1,1
" No, the Blue Negger on the way across the street",hate_video_8,31.0,35.6,1,1
" Mad boy, fucked and black",hate_video_8,35.6,40.02,1,1
 The Blue Negger on the way across the street,hate_video_8,40.02,43.6,1,1
" Oh no, oh no, oh",hate_video_8,43.6,46.0,1,1
 We thought she's gonna shoot me,hate_video_8,46.0,48.0,1,1
 Ho ho ho ho ho ho ho,hate_video_8,48.0,52.0,1,1
 That is the blackest mega I shall ever see,hate_video_8,52.0,56.0,1,1
" If you smell something funny when you walk down the street, you're in Coontown.",hate_video_9,7.1,11.9,1,1
" You look and see garbage all over the street, you're in Coontown.",hate_video_9,13.52,18.56,1,1
" Up and down the street there ain't nothing but trash,",hate_video_9,20.34,23.46,1,1
 nigger girls trying to get a nigger boy's cash,hate_video_9,23.78,26.56,1,1
 Then you even see a spook with a big mustache in Coontown,hate_video_9,26.56,31.6,1,1
 On the corner there's a nigger with a drink in his hand,hate_video_9,31.6,36.38,1,1
 That's Coontown,hate_video_9,36.38,37.94,1,1
 Trying to bum a nickel from whoever he can in Coontown,hate_video_9,37.94,44.6,1,1
 And don't be surprised you can make a bet Trying to bum a nickel from whoever he can in Coontown.,hate_video_9,44.6,46.14,1,1
" And don't be surprised, you can make a bet.",hate_video_9,49.18,49.38,1,1
" If you go back tomorrow, he'll be there yet.",hate_video_9,52.42,52.76,1,1
" He's trying to get drunk, and drunk he's gonna get in Coontown. Niggers never bother about going to work in Coon Town They seem to think that work is for jerks out of Coon Town",hate_video_9,89.8,96.42,1,1
 He don't do nothing but sleep in those,hate_video_9,96.42,101.28,1,1
 He don't wake until his eyes are tired of being closed,hate_video_9,101.28,104.6,1,1
 It's half a day's work for him to scratch his toes in Coontown,hate_video_9,104.6,109.64,1,1
 It amazes me to see the way they live in Coontown,hate_video_9,109.64,116.04,1,1
 They do all the taking while we have to give to Coontown,hate_video_9,116.04,122.92,1,1
 The night man worries the nigger don't care.,hate_video_9,122.92,127.44,1,1
 Cause at the end of the month his check will be there.,hate_video_9,127.6,130.68,1,1
 Every nigger earns his living off the old welfare in Coontown.,hate_video_9,130.68,135.78,1,1
 Every nigger earns his living off the old welfare in Coontown.,hate_video_9,137.1,142.36,1,1
 The Outro Music,hate_video_10,29.94,37.92,1,1
" Oh, you said niggas?",hate_video_11,29.98,1.0,1,1
 Niggas niggas niggas niggas niggas niggas,hate_video_11,1.0,4.0,1,1
 I fucking hate niggas,hate_video_11,4.0,6.0,1,1
 Niggas fucks,hate_video_11,6.0,8.0,1,1
 Niggas fucks,hate_video_11,8.0,10.0,1,1
 You know what's funny? I muted the stream already,hate_video_11,10.0,14.0,1,1
" Uhhh I'm a nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger, nigger,",hate_video_11,14.0,32.427,1,1
" Shut up! 50 years ago, they had you all tied down with a f**king fork up your ass!",hate_video_12,3.0,7.64,0,1
" You can talk, you can talk, you can talk your brain down, motherf**king, rolls ass out, he's a nigger!",hate_video_12,11.48,16.5,1,1
 He's a nigger! He's a nigger!,hate_video_12,17.4,19.62,1,1
 Oh my god.,hate_video_12,20.18,20.96,1,1
 A nigger looked as a nigger!,hate_video_12,20.98,22.5,1,1
" Ooh, ooh! Ooh.",hate_video_12,23.82,25.48,1,1
 Ooh.,hate_video_12,25.96,27.38,1,1
" All right, you see?",hate_video_12,28.76,29.26,1,1
 It shocks you.,hate_video_12,30.24,30.48,1,1
 It shocks you to see what's buried beneath your stupid mother p***er does.,hate_video_12,35.06,35.94,1,1
 That was a call for.,hate_video_12,36.98,37.22,1,1
 What was it called for?,hate_video_12,38.48,38.54,1,1
" It's not called for you to air up my ass, you cheat mother p***er!",hate_video_12,41.52,43.12,1,1
 You guys have been talking and talking and talking.,hate_video_12,45.56,47.62,1,1
 I don't know.,hate_video_12,48.5,48.58,1,1
 I don't know.,hate_video_12,49.04,49.1,1,1
 I don't know.,hate_video_12,49.66,51.48,1,1
" You guys are going, what's up, man?",hate_video_12,53.34,53.46,1,1
 It's too much for you to handle.,hate_video_12,55.02,57.52,1,1
 I'm going to arrest you for calling a black man.,hate_video_12,59.56,59.62,1,1
 Come here.,hate_video_12,59.96,61.18,1,1
" I don't know where to see it. Hey, you don't beat the fuck down.",hate_video_12,62.2,63.58,1,1
 You don't know. Wait a minute. where's he going?,hate_video_12,64.36,67.14,1,1
 Crack a knife!,hate_video_12,70.14,70.82,1,1
 You're calling me crack a knife!,hate_video_12,70.82,72.04,1,1
 I'm a fan of you!,hate_video_12,72.04,74.6,1,1
" Oh, you're trapping me?",hate_video_12,75.96,77.7,1,1
" Oh, it's a big threat.",hate_video_12,79.3,80.7,0,1
 That's how you get back in the van.,hate_video_12,80.8,82.3,0,1
" Wait a minute, he's not going, is he? It's not funny! That's why you reject. Never have van. That was the real call for. Wait a minute, he's not going to be.",hate_video_12,83.64,86.0,0,1
 You're just not funny.,hate_video_12,86.0,88.0,0,1
" That's why you reject. Never had no show, never had no movie.",hate_video_12,88.0,90.0,0,1
 That's not doing it.,hate_video_12,90.0,92.0,0,1
" Oh, I guess you got me there.",hate_video_12,92.0,94.0,0,1
 You're absolutely right.,hate_video_12,94.0,96.0,0,1
 I'm just a wash up.,hate_video_12,96.0,98.0,0,1
 Gotta stand on the stage.,hate_video_12,98.0,100.0,0,1
 That's it. We had it.,hate_video_12,100.0,102.0,0,1
 We had it.,hate_video_12,102.0,104.0,0,1
 And it is. That's how the we had it. We had it. And it is.,hate_video_12,104.0,105.0,0,1
" Hey, anybody who says to be here, that's what the f**king call for!",hate_video_12,105.0,108.0,0,1
" Hold on, that ain't necessary!",hate_video_12,108.0,110.0,0,1
" What happened? You interrupted me, pal!",hate_video_12,110.0,112.0,0,1
 That's what happens when you interrupt the white man!,hate_video_12,112.0,114.0,0,1
 What happened? What happened? What happened?,hate_video_12,114.0,116.0,0,1
 What happened? What happened? What happened?,hate_video_12,116.0,118.0,0,1
 What happened? What happened? What happened?,hate_video_12,118.0,120.0,0,1
 What happened? What happened? What happened?,hate_video_12,120.0,122.0,0,1
 What happened? What happened? What happened?,hate_video_12,122.0,124.0,0,1
" What happened? What happened? What happened? What happened? What happened? You see, there's still those words, those words, those words. Thank you.",hate_video_12,124.0,189.98,0,1
 I of gassing juice I wanna go some place,hate_video_13,18.18,25.6,1,1
 where I can make some poops,hate_video_13,25.6,27.88,1,1
 I shoot any nigger,hate_video_13,27.88,30.7,1,1
 that I can find,hate_video_13,30.7,33.76,1,1
 It's the only thing I know,hate_video_13,33.76,36.56,1,1
 that gives me peace of mind,hate_video_13,36.56,39.56,1,1
 I wanna go,hate_video_13,39.56,40.78,1,1
 I wanna go,hate_video_13,40.78,42.2,1,1
 I wanna go,hate_video_13,42.2,43.86,1,1
 Coot Bashin I wanna go I. I want to go. I want to go. Coon fashion.,hate_video_13,43.86,45.22,1,1
 I want to go.,hate_video_13,46.16,46.38,1,1
 I want to go.,hate_video_13,47.54,47.86,1,1
 I want to go.,hate_video_13,49.16,49.4,1,1
 Coon fashion.,hate_video_13,50.22,50.84,1,1
 Do you smell the smoke?,hate_video_13,52.08,53.28,1,1
 That's all around.,hate_video_13,54.86,56.26,1,1
 The BJ hate potsy just burned the ghetto down.,hate_video_13,60.36,61.82,1,1
" If any spooks happen to the night, Get him out!",hate_video_13,83.84,84.76,1,1
" I ain't running for you, Sid, no more.",hate_video_13,86.68,87.08,1,1
" You had your fun, I was a player.",hate_video_13,88.44,88.78,1,1
 You got the bastard.,hate_video_13,89.46,90.38,1,1
 What's the bus for?,hate_video_13,91.46,91.72,1,1
" We got some unfinished business, boys.",hate_video_13,93.32,93.64,1,1
 What business?,hate_video_13,94.22,94.72,1,1
 It's a little matter of you kicking the shit out of a white man.,hate_video_13,97.36,97.52,1,1
" Fuck you, folks!",hate_video_13,98.32,99.08,1,1
 Ah!,hate_video_13,99.42,101.54,1,1
" Fuck you, pig!",hate_video_13,102.48,108.0,1,1
" Nigger, sure, please. He's almost dead, he's not in his wheel I scrub his head like a baby seal The fucking coon, the thing to take me",hate_video_13,125.0,127.74,1,1
 The cops are wired and won't try to stop me,hate_video_13,127.74,130.26,1,1
" Another night, I'm going to bash it",hate_video_13,130.26,133.76,1,1
 I'll never stop until they're dead,hate_video_13,133.76,139.68,1,1
 People are clubbing away at ugly niggas,hate_video_13,139.68,144.68,1,1
 I laugh so hard,hate_video_13,144.68,148.26,1,1
 Fall on my feet,hate_video_13,148.26,150.76,1,1
 Yeah,hate_video_13,150.76,151.66,1,1
 And this is all it's been,hate_video_13,151.66,153.9,1,1
 All I want,hate_video_13,153.9,155.38,1,1
 I want to go,hate_video_13,155.38,156.74,1,1
 I want to go,hate_video_13,156.74,158.02,1,1
 I want to go,hate_video_13,158.02,159.42,1,1
 I want to go,hate_video_13,159.42,160.88,1,1
 Coons bashing,hate_video_13,160.88,162.24,1,1
 I want to go,hate_video_13,162.24,163.44,1,1
 I want to go,hate_video_13,163.44,164.8,1,1
 I want to go Coons bashing It's all I want to go. Goosebash it. I want to go. I want to go.,hate_video_13,164.8,165.02,1,1
 I want to go.,hate_video_13,166.46,166.82,1,1
 Goosebash it.,hate_video_13,167.84,168.1,1,1
 It's all I want.,hate_video_13,169.34,170.76,1,1
 It's all I crave.,hate_video_13,172.36,173.62,1,1
 I'm just the one to go.,hate_video_13,175.36,175.68,1,1
 Goosebash it.,hate_video_13,177.0,182.34,1,1
 Fucking dig it.,hate_video_13,182.34,185.856,1,1
" Hello Darkies, my old friends. I've come to talk to you again.",hate_video_14,17.28,25.5,0,1
 Chicken bones pout you to seal in.,hate_video_14,25.5,29.44,0,1
 A genus that is what I'm failing.,hate_video_14,29.44,34.96,0,1
 And the bullets that are planted in their brains still remain.,hate_video_14,34.96,42.54,0,1
 I hear the sounds.,hate_video_14,42.54,46.0,1,1
 A chin pounce.,hate_video_14,48.0,49.0,1,1
 He and a try to walk alone.,hate_video_14,52.0,53.0,1,1
 Snap in coons and get in stone.,hate_video_14,56.0,57.0,1,1
 Yickers hangin from the street. Lambs.,hate_video_14,60.0,61.0,1,1
 No more usage for their food.,hate_video_14,61.0,64.0,1,1
 Stamps. In their eyes. No more usage for their food stamps.,hate_video_14,64.0,67.0,1,1
" In their eyes, they were stabbed with Macombatnav.",hate_video_14,67.0,72.0,1,1
 A fucked their wefs.,hate_video_14,72.0,74.0,1,1
 A heard the seance.,hate_video_14,74.0,79.0,1,1
 A champounce.,hate_video_14,79.0,83.0,1,1
 A caused a riot in uproar.,hate_video_14,83.0,86.44,1,1
" 10,000 monkeys made them all.",hate_video_14,86.44,89.84,1,1
" Jigaboo's gluten-seed, the ass.",hate_video_14,89.84,92.92,1,1
 Intelligents they don't fizz.,hate_video_14,92.92,96.94,1,1
 All of Chicago roads are filled with Bernie bots.,hate_video_14,96.94,101.96,1,1
 Base a cox.,hate_video_14,101.96,104.22,1,1
 Trump knows the sounds.,hate_video_14,104.22,106.0,1,1
 A-chand-outs.,hate_video_14,106.0,108.0,1,1
 Non-valance they do not know.,hate_video_14,108.0,112.0,1,1
 My guns to the ML have to show.,hate_video_14,112.0,115.0,1,1
 Muzzles flashed in the evening dark.,hate_video_14,115.0,118.0,1,1
 A-mah-ray-a-de-cull-an-hay-at-the-mark.,hate_video_14,118.0,122.0,1,1
 Jungle bun is...,hate_video_14,122.0,124.0,1,1
 Scatterintering in all directions,hate_video_14,124.0,126.64,1,1
 he use my reaction i'm gonna clean up,hate_video_14,126.64,130.0,1,1
 yes i'll clean up they is champ out,hate_video_14,130.0,133.84,1,1
 enough i can scream in for hail but the damage has been dealt,hate_video_14,133.84,140.4,1,1
 bodies blooded laying on the ground. Juzur pay an action.,hate_video_14,140.4,147.0,1,1
 Sarish Lomo.,hate_video_14,147.0,149.0,1,1
 He'll never take down the one-man claim.,hate_video_14,149.0,152.0,1,1
 The Aziz Malian.,hate_video_14,152.0,154.0,1,1
 And the one put up.,hate_video_14,154.0,157.0,1,1
 We have chain payouts.,hate_video_14,157.0,159.0,1,1
 Do black lives matter to you?,hate_video_15,0.4,2.0,0,1
 Do black lives matter to you?,hate_video_15,2.0,4.0,0,1
 Do black lives matter to you?,hate_video_15,4.0,6.0,0,1
" Do black lives matter, right, Karen?",hate_video_15,6.0,8.0,1,1
" Fucking white piece of shit, you little fucking cuss-ass bitch!",hate_video_15,8.0,10.0,1,1
" Oh yeah, you wanna fucking go, Karen?",hate_video_15,10.0,14.0,1,1
 No! No!,hate_video_15,18.0,20.0,1,1
" Until black lives matter,",hate_video_15,20.0,22.0,1,1
" until black lives matter,",hate_video_15,22.0,24.0,1,1
 no life matters.,hate_video_15,24.0,26.0,1,1
 That is not our fight until black lives mean something to this country.,hate_video_15,26.0,32.0,1,1
" No, no.",hate_video_15,32.0,34.0,1,1
 She ain't going nowhere though.,hate_video_15,34.0,39.0,1,1
 She's not going nowhere.,hate_video_15,39.0,43.0,1,1
 Until black. What's she going to do. She's not going nowhere. Until Black... What's she going to do?,hate_video_15,43.0,45.72,1,1
 She's not going nowhere.,hate_video_15,45.92,46.84,1,1
 Black lives matter.,hate_video_15,47.26,48.36,0,1
 Black lives matter.,hate_video_15,48.78,50.08,0,1
 Black lives matter.,hate_video_15,50.54,51.8,0,1
 Thank you. Listen here boys and girls,hate_video_16,29.56,63.76,1,1
 I got something for you.,hate_video_16,63.76,65.32,1,1
" Don't worry about getting no black man, little girl.",hate_video_16,66.06,68.14,1,1
" Don't worry about getting no black woman, little boy.",hate_video_16,69.54,71.7,1,1
" And when you grow up, don't worry about your kids.",hate_video_16,72.34,75.52,1,1
 You don't need to worry about that.,hate_video_16,76.46,78.04,1,1
 All you need to do is do something good for white folks.,hate_video_16,78.48,81.8,1,1
" And if white folks love you, if they love you,",hate_video_16,82.54,85.42,1,1
" you'll be all right, child.",hate_video_16,86.02,87.38,1,1
 You'll be with God.,hate_video_16,88.02,89.48,1,1
 Coon Watch.,hate_video_16,93.04,93.74,1,1
" The official, the original,",hate_video_16,95.02,97.44,1,1
 home for coon shaming.,hate_video_16,97.9,99.78,1,1
 Find all the coons you can handle at coonwatch.com.,hate_video_16,99.78,105.6,1,1
 Work I don't work for his company. I can't make I can,hate_video_18,29.98,3.4,0,1
" Yeah, we set out to hit to a handicap the other further near Show ass up. Fucking nigger bitches. Knock her out, cuz I'm obese.",hate_video_18,32.56,45.06,1,1
 Knock me out?,hate_video_18,45.92,46.16,1,1
 You're a bastard.,hate_video_18,46.88,47.84,1,1
 You're a fucking nigger.,hate_video_18,48.58,48.6,1,1
" Next time you get in my face with that N-bomb, I'm gonna knock you out and I'm gonna tell",hate_video_18,48.6,51.944,1,1
 I HATE NIGGERS!,hate_video_19,6.04,2.0,1,1
" Yeah, she's on drugs or something.",hate_video_19,6.0,8.0,1,1
" No, I'm totally... I just hate niggers!",hate_video_19,9.0,12.0,1,1
 Fuck you niggers!,hate_video_19,13.0,15.0,1,1
 I HATE NIGGERS!,hate_video_19,17.0,19.0,1,1
" I would kill a nigger, but the law says I can't kill the niggers.",hate_video_19,20.0,27.0,1,1
" If the law didn't say that I couldn't kill the niggers, they'd all be dead!",hate_video_19,27.0,33.0,1,1
 Where's my license plate number?,hate_video_19,33.0,36.0,1,1
 Nigger! Nigger! Nigger! Nigger!,hate_video_19,36.0,42.24,1,1
" Give me a monkey dance, nigger.",hate_video_20,0.0,1.2,1,1
 Because I hate niggers.,hate_video_20,2.48,3.88,1,1
